Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
0,-0.0119,-6.6159,0,4.2001,0
0,-0.0124,-6.7506,0,4.2857,0
0,-0.0129,-6.8872,0,4.3725,0
0,-0.0134,-7.0259,0,4.4606,0
0,-0.0139,-7.1665,0,4.55,0
0,-0.0145,-7.3091,0,4.6407,0
0,-0.0151,-7.4537,0,4.7326,0
0,-0.0157,-7.6004,0,4.8259,0
0,-0.0163,-7.7491,0,4.9204,0
0,-0.017,-7.8998,0,5.0163,0
0,-0.0176,-8.0527,0,5.1135,0
0,-0.0183,-8.2077,0,5.212,0
0,-0.019,-8.3647,0,5.3119,0
0,-0.0197,-8.5239,0,5.4131,0
0,-0.0205,-8.6853,0,5.5158,0
0,-0.0213,-8.8488,0,5.6197,0
0,-0.0221,-9.0144,0,5.7251,0
0,-0.0229,-9.1823,0,5.8319,0
0,-0.0238,-9.3524,0,5.9401,0
0,-0.0247,-9.5247,0,6.0497,0
0,-0.0256,-9.6993,0,6.1608,0
0,-0.0265,-9.8761,0,6.2733,0
0,-0.0275,-10.0552,0,6.3873,0
0,-0.0285,-10.2366,0,6.5027,0
0,-0.0295,-10.4203,0,6.6196,0
0,-0.0306,-10.6063,0,6.738,0
0,-0.0317,-10.7946,0,6.8578,0
0,-0.0328,-10.9853,0,6.9792,0
0,-0.034,-11.1784,0,7.1021,0
0,-0.0352,-11.3739,0,7.2266,0
0,-0.0364,-11.5718,0,7.3526,0
0,-0.0377,-11.7721,0,7.4801,0
0,-0.039,-11.9748,0,7.6092,0
0,-0.0404,-12.18,0,7.7398,0
0,-0.0418,-12.3877,0,7.8721,0
0,-0.0432,-12.5978,0,8.0059,0
0,-0.0447,-12.8105,0,8.1413,0
0,-0.0462,-13.0256,0,8.2784,0
0,-0.0477,-13.2433,0,8.4171,0
0,-0.0493,-13.4636,0,8.5574,0
0,-0.051,-13.6864,0,8.6993,0
0,-0.0527,-13.9118,0,8.8429,0
0,-0.0544,-14.1397,0,8.9882,0
0,-0.0562,-14.3703,0,9.1351,0
0,-0.0581,-14.6036,0,9.2838,0
0,-0.06,-14.8394,0,9.4341,0
0,-0.0619,-15.078,0,9.5862,0
0,-0.0639,-15.3192,0,9.7399,0
0,-0.066,-15.5631,0,9.8954,0
0,-0.0681,-15.8097,0,10.0526,0
0,-0.0703,-16.059,0,10.2116,0
0,-0.0725,-16.3111,0,10.3723,0
0,-0.0748,-16.5659,0,10.5348,0
0,-0.0771,-16.8235,0,10.6991,0
0,-0.0795,-17.0839,0,10.8652,0
0,-0.082,-17.347,0,11.0331,0
0,-0.0846,-17.613,0,11.2028,0
0,-0.0872,-17.8818,0,11.3743,0
0,-0.0898,-18.1535,0,11.5476,0
0,-0.0926,-18.428,0,11.7228,0
0,-0.0954,-18.7054,0,11.8999,0
0,-0.0983,-18.9857,0,12.0788,0
0,-0.1013,-19.2689,0,12.2596,0
0,-0.1043,-19.5551,0,12.4422,0
0,-0.1074,-19.8441,0,12.6268,0
0,-0.1106,-20.1362,0,12.8132,0
0,-0.1139,-20.4311,0,13.0016,0
0,-0.1173,-20.7291,0,13.1919,0
0,-0.1207,-21.0301,0,13.3841,0
0,-0.1242,-21.3341,0,13.5783,0
0,-0.1278,-21.6411,0,13.7745,0
0,-0.1315,-21.9511,0,13.9726,0
0,-0.1353,-22.2642,0,14.1726,0
0,-0.1392,-22.5804,0,14.3747,0
0,-0.1432,-22.8997,0,14.5787,0
0,-0.1473,-23.2221,0,14.7848,0
0,-0.1515,-23.5475,0,14.9929,0
0,-0.1557,-23.8762,0,15.203,0
0,-0.1601,-24.2079,0,15.4151,0
0,-0.1646,-24.5428,0,15.6293,0
0,-0.1692,-24.8809,0,15.8455,0
0,-0.1739,-25.2222,0,16.0638,0
0,-0.1787,-25.5667,0,16.2842,0
0,-0.1836,-25.9144,0,16.5066,0
0,-0.1886,-26.2653,0,16.7312,0
0,-0.1938,-26.6195,0,16.9578,0
0,-0.199,-26.9769,0,17.1866,0
0,-0.2044,-27.3376,0,17.4175,0
0,-0.2099,-27.7016,0,17.6505,0
0,-0.2155,-28.0688,0,17.8857,0
0,-0.2213,-28.4394,0,18.123,0
0,-0.2272,-28.8134,0,18.3625,0
0,-0.2332,-29.1906,0,18.6041,0
0,-0.2394,-29.5712,0,18.848,0
0,-0.2456,-29.9552,0,19.094,0
0,-0.2521,-30.3426,0,19.3422,0
0,-0.2586,-30.7333,0,19.5926,0
0,-0.2653,-31.1275,0,19.8453,0
0,-0.2722,-31.5251,0,20.1001,0
0,-0.2792,-31.9261,0,20.3572,0
0,-0.2864,-32.3305,0,20.6166,0
0,-0.2937,-32.7385,0,20.8782,0
0,-0.3012,-33.1499,0,21.1421,0
0,-0.3088,-33.5647,0,21.4082,0
0,-0.3166,-33.9831,0,21.6766,0
0,-0.3245,-34.405,0,21.9474,0
0,-0.3327,-34.8304,0,22.2204,0
0,-0.341,-35.2593,0,22.4957,0
0,-0.3494,-35.6918,0,22.7734,0
