Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
0,16.3499,14.3508,-0,-1.9417,0
0,16.6254,14.5871,-0,-1.9742,0
0,16.904,14.8256,-0,-2.0071,0
0,17.1855,15.0665,-0,-2.0403,0
0,17.47,15.3098,-0,-2.0738,0
0,17.7575,15.5555,-0,-2.1077,0
0,18.048,15.8035,-0,-2.1419,0
0,18.3415,16.0539,-0,-2.1765,0
0,18.638,16.3066,-0,-2.2114,0
0,18.9376,16.5618,-0,-2.2466,0
0,19.2403,16.8193,-0,-2.2823,0
0,19.546,17.0793,-0,-2.3182,0
0,19.8548,17.3416,-0,-2.3545,0
0,20.1667,17.6063,-0,-2.3912,0
0,20.4817,17.8734,-0,-2.4283,0
0,20.7998,18.143,-0,-2.4657,0
0,21.1211,18.4149,-0,-2.5034,0
0,21.4454,18.6892,-0,-2.5415,0
0,21.773,18.966,-0,-2.58,0
0,22.1037,19.2452,-0,-2.6188,0
0,22.4376,19.5268,-0,-2.658,0
0,22.7747,19.8108,-0,-2.6976,0
0,23.1149,20.0973,-0,-2.7375,0
0,23.4584,20.3862,-0,-2.7778,0
0,23.8051,20.6775,-0,-2.8184,0
0,24.1551,20.9712,-0,-2.8595,0
0,24.5082,21.2674,-0,-2.9009,0
0,24.8647,21.566,-0,-2.9426,0
0,25.2244,21.8671,-0,-2.9847,0
0,25.5874,22.1706,-0,-3.0273,0
0,25.9536,22.4765,-0,-3.0701,0
0,26.3232,22.7849,-0,-3.1134,0
0,26.6961,23.0957,-0,-3.157,0
0,27.0723,23.409,-0,-3.201,0
0,27.4518,23.7247,-0,-3.2454,0
0,27.8347,24.0429,-0,-3.2902,0
0,28.2209,24.3635,-0,-3.3353,0
0,28.6105,24.6866,-0,-3.3808,0
0,29.0035,25.0121,-0,-3.4267,0
0,29.3999,25.34,-0,-3.473,0
0,29.7996,25.6704,-0,-3.5196,0
0,30.2028,26.0033,-0,-3.5667,0
0,30.6093,26.3386,-0,-3.6141,0
0,31.0193,26.6763,-0,-3.6619,0
0,31.4327,27.0165,-0,-3.7101,0
0,31.8496,27.3591,-0,-3.7587,0
0,32.2699,27.7042,-0,-3.8077,0
0,32.6937,28.0517,-0,-3.857,0
0,33.121,28.4017,-0,-3.9068,0
0,33.5518,28.7541,-0,-3.9569,0
0,33.986,29.1089,-0,-4.0074,0
0,34.4237,29.4662,-0,-4.0583,0
0,34.865,29.8259,-0,-4.1097,0
0,35.3098,30.1881,-0,-4.1614,0
0,35.7581,30.5526,-0,-4.2134,0
0,36.2099,30.9197,-0,-4.2659,0
0,36.6653,31.2891,-0,-4.3188,0
0,37.1243,31.661,-0,-4.3721,0
0,37.5868,32.0352,-0,-4.4258,0
0,38.0529,32.412,-0,-4.4798,0
0,38.5226,32.7911,-0,-4.5343,0
0,38.9959,33.1726,-0,-4.5892,0
0,39.4727,33.5566,-0,-4.6444,0
0,39.9532,33.9429,-0,-4.7001,0
0,40.4373,34.3317,-0,-4.7562,0
0,40.9251,34.7228,-0,-4.8126,0
0,41.4164,35.1164,-0,-4.8695,0
0,41.9114,35.5123,-0,-4.9267,0
0,42.4101,35.9107,-0,-4.9844,0
0,42.9124,36.3114,-0,-5.0425,0
0,43.4184,36.7145,-0,-5.1009,0
0,43.9281,37.12,-0,-5.1598,0
0,44.4414,37.5278,-0,-5.2191,0
0,44.9585,37.938,-0,-5.2788,0
0,45.4792,38.3506,-0,-5.3389,0
0,46.0037,38.7656,-0,-5.3994,0
0,46.5318,39.1828,-0,-5.4603,0
0,47.0637,39.6025,-0,-5.5216,0
0,47.5993,40.0245,-0,-5.5833,0
0,48.1387,40.4488,-0,-5.6454,0
0,48.6818,40.8754,-0,-5.7079,0
0,49.2286,41.3044,-0,-5.7708,0
0,49.7792,41.7356,-0,-5.8342,0
0,50.3335,42.1692,-0,-5.8979,0
0,50.8917,42.6051,-0,-5.9621,0
0,51.4536,43.0433,-0,-6.0267,0
0,52.0193,43.4838,-0,-6.0916,0
0,52.5887,43.9266,-0,-6.157,0
0,53.162,44.3717,-0,-6.2228,0
0,53.7391,44.819,-0,-6.289,0
0,54.32,45.2686,-0,-6.3557,0
0,54.9047,45.7205,-0,-6.4227,0
0,55.4932,46.1746,-0,-6.4901,0
0,56.0856,46.6309,-0,-6.558,0
0,56.6817,47.0895,-0,-6.6262,0
0,57.2818,47.5503,-0,-6.6949,0
0,57.8856,48.0133,-0,-6.764,0
0,58.4933,48.4786,-0,-6.8335,0
0,59.1049,48.946,-0,-6.9034,0
0,59.7203,49.4157,-0,-6.9738,0
0,60.3396,49.8875,-0,-7.0445,0
0,60.9628,50.3616,-0,-7.1156,0
0,61.5899,50.8377,-0,-7.1872,0
0,62.2208,51.3161,-0,-7.2592,0
0,62.8556,51.7966,-0,-7.3316,0
0,63.4943,52.2793,-0,-7.4044,0
0,64.1369,52.764,-0,-7.4776,0
0,64.7834,53.251,-0,-7.5512,0
0,65.4338,53.74,-0,-7.6253,0
0,66.0881,54.2311,-0,-7.6998,0
